date;vac_statut;age;nb_PCR;nb_PCR_sympt;nb_PCR+_sympt;nb_PCR+;HC;HC_PCR+;SC;SC_PCR+;DC;DC_PCR+;pourcent_parmi_vaccines;PCR+_pourcent_omicron;PCR+_sympt_pourcent_omicron;HC_pourcent_omicron;SC_pourcent_omicron;DC_pourcent_omicron;HC_PCR+_pour_covid;SC_PCR+_pour_covid;DC_PCR+_pour_covid
2021-06-03;Primo dose efficace;[60,79];11865.69;759.42;25.02;85.37;1.43;1.16;3.27;3.27;2.52;2.52;45.07;;;;;;1.1;3.27;2.52
2021-06-03;Primo dose efficace;"[80;+]";2349.86;134.93;2.19;31.73;4.87;3.66;0.13;0.13;3.89;1.2;19.9;;;;;;2.66;0.13;1.2
2021-06-03;Complet de moins de 3 mois - sans rappel;[0,19];197.7;9.82;0.24;6.15;0.0;0.0;0.0;0.0;0.0;0.0;9.36;;;;;;0.0;0.0;0.0
2021-06-03;Complet de moins de 3 mois - sans rappel;[20,39];5540.56;295.24;31.28;103.58;0.12;0.0;0.0;0.0;0.0;0.0;19.47;;;;;;0.0;0.0;0.0
2021-06-04;Primo dose efficace;[20,39];10718.05;484.04;16.81;69.63;0.0;0.0;0.0;0.0;0.0;0.0;37.59;;;;;;0.0;0.0;0.0
2021-06-04;Primo dose efficace;[40,59];17344.8;786.2;40.26;136.93;0.38;0.14;0.0;0.0;0.0;0.0;48.98;;;;;;0.14;0.0;0.0
2021-06-04;Primo dose efficace;"[80;+]";2409.22;146.76;4.81;39.64;5.96;5.18;0.0;0.0;0.55;0.17;19.68;;;;;;4.93;0.0;0.17
2021-06-04;Complet de moins de 3 mois - sans rappel;[0,19];320.98;11.93;1.44;8.95;0.31;0.15;0.13;0.0;0.0;0.0;9.24;;;;;;0.15;0.0;0.0
2021-06-04;Complet de moins de 3 mois - sans rappel;[60,79];18194.63;594.16;52.19;194.08;2.95;2.39;2.65;0.25;1.11;1.06;44.34;;;;;;1.39;0.25;1.0
2021-06-04;Complet entre 3 mois et 6 mois - sans rappel;[60,79];2870.36;97.57;1.4;12.34;0.24;0.17;0.0;0.0;0.24;0.19;5.89;;;;;;0.17;0.0;0.14
2021-06-04;Complet entre 3 mois et 6 mois - sans rappel;"[80;+]";2785.67;155.17;3.6;19.81;3.32;1.0;0.0;0.0;2.0;2.0;20.86;;;;;;1.0;0.0;2.0
2021-06-04;Complet - avec 1 rappel de moins de 3 mois;[60,79];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;0.0
2021-06-05;Non-vaccinés;"[80;+]";2210.73;147.68;13.07;72.25;13.3;10.12;3.96;2.4;11.01;7.8;;;;;;;8.12;2.4;7.8
2021-06-05;Primo dose récente;[40,59];3687.47;178.24;33.24;83.97;1.25;1.0;0.0;0.0;0.0;0.0;23.32;;;;;;1.0;0.0;0.0
2021-06-05;Primo dose efficace;[20,39];5118.87;249.37;5.31;30.3;0.19;0.19;0.14;0.0;0.15;0.15;38.57;;;;;;0.0;0.0;0.15
2021-06-05;Primo dose efficace;[40,59];9553.99;384.67;23.61;73.24;0.31;0.07;1.12;1.0;1.0;1.0;49.63;;;;;;0.07;1.0;1.0
2021-06-05;Complet de moins de 3 mois - sans rappel;[0,19];124.4;2.18;0.08;2.61;0.15;0.0;0.0;0.0;0.0;0.0;9.18;;;;;;0.0;0.0;0.0
2021-06-05;Complet de moins de 3 mois - sans rappel;[40,59];5026.74;173.12;31.78;100.71;1.14;0.0;1.12;1.0;0.0;0.0;22.59;;;;;;0.0;1.0;0.0
2021-06-05;Complet entre 3 mois et 6 mois - sans rappel;[0,19];5.13;1.0;0.0;0.01;0.03;0.0;0.0;0.0;0.0;0.0;0.29;;;;;;0.0;0.0;0.0
2021-06-05;Complet entre 3 mois et 6 mois - sans rappel;[40,59];885.21;36.68;0.31;5.55;0.0;0.0;0.0;0.0;0.0;0.0;4.46;;;;;;0.0;0.0;0.0
2021-06-05;Complet - avec 1 rappel de moins de 3 mois;[60,79];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;0.0
2021-06-06;Non-vaccinés;[0,19];4111.07;661.87;44.51;151.16;4.29;1.0;2.0;0.0;0.0;0.0;;;;;;;1.0;0.0;0.0
2021-06-06;Non-vaccinés;[20,39];7363.66;483.31;89.47;255.13;15.49;12.8;5.4;3.67;0.0;0.0;;;;;;;11.0;3.0;0.0
2021-06-06;Primo dose récente;[0,19];126.5;9.68;1.38;1.59;0.05;0.0;0.0;0.0;0.0;0.0;54.74;;;;;;0.0;0.0;0.0
2021-06-06;Primo dose efficace;[0,19];93.04;2.1;0.01;2.08;0.24;0.0;0.0;0.0;0.0;0.0;35.85;;;;;;0.0;0.0;0.0
2021-06-06;Primo dose efficace;[20,39];1442.53;69.17;6.39;13.98;0.5;0.2;1.26;0.13;0.0;0.0;39.63;;;;;;0.0;0.0;0.0
2021-06-06;Primo dose efficace;"[80;+]";795.87;65.33;2.29;15.29;1.49;0.36;3.61;2.61;2.5;2.5;19.23;;;;;;0.36;2.61;2.5
2021-06-06;Complet entre 3 mois et 6 mois - sans rappel;[40,59];203.8;12.24;0.07;1.26;0.02;0.0;0.0;0.0;0.1;0.1;4.43;;;;;;0.0;0.0;0.0
2021-06-06;Complet - avec 1 rappel de moins de 3 mois;[60,79];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;0.0
2021-06-07;Non-vaccinés;[40,59];29709.6;2719.1;602.14;1462.33;24.18;19.93;9.82;9.0;1.0;1.0;;;;;;;18.2;9.0;0.0
2021-06-07;Non-vaccinés;"[80;+]";4492.79;238.66;24.24;122.22;24.3;15.9;6.58;4.83;9.45;7.3;;;;;;;14.65;3.33;6.3
2021-06-07;Primo dose récente;[0,19];822.67;77.34;8.22;19.54;0.0;0.0;0.06;0.06;0.0;0.0;53.86;;;;;;0.0;0.06;0.0
2021-06-07;Primo dose récente;[40,59];6101.41;442.34;91.44;175.21;1.21;1.0;1.0;1.0;0.0;0.0;22.08;;;;;;1.0;1.0;0.0
2021-06-07;Primo dose efficace;[0,19];716.19;46.54;3.12;9.43;0.02;0.02;0.0;0.0;0.0;0.0;36.81;;;;;;0.02;0.0;0.0
2021-06-07;Primo dose efficace;[20,39];10166.21;747.86;33.88;84.2;2.75;1.35;0.0;0.0;0.0;0.0;40.26;;;;;;0.15;0.0;0.0
2021-06-07;Primo dose efficace;"[80;+]";3230.58;145.1;4.02;33.53;5.32;4.53;2.17;2.1;3.05;1.7;19.21;;;;;;4.28;1.78;1.7
2021-06-07;Complet de moins de 3 mois - sans rappel;[0,19];194.74;7.18;0.03;7.38;0.01;0.01;0.03;0.03;0.0;0.0;9.05;;;;;;0.01;0.03;0.0
2021-06-07;Complet de moins de 3 mois - sans rappel;[20,39];5031.79;293.22;40.56;106.41;0.12;0.12;0.0;0.0;0.0;0.0;18.84;;;;;;0.12;0.0;0.0
2021-06-07;Complet de moins de 3 mois - sans rappel;[60,79];21598.62;700.71;63.8;247.8;3.32;2.83;2.63;2.63;0.51;0.4;46.16;;;;;;2.62;2.63;0.4
2021-06-07;Complet - avec 1 rappel entre 3 mois et 6 mois;[60,79];0.0;0.0;0.0;0.0;0.0;0.0;0.12;0.12;0.0;0.0;0.0;;;;;;0.0;0.12;0.0
2021-06-07;Complet - avec 1 rappel de 6 mois ou plus;[60,79];0.0;0.0;0.0;0.0;0.0;0.0;0.16;0.16;0.0;0.0;0.0;;;;;;0.0;0.16;0.0
2021-06-07;Complet - avec 2 rappel entre 3 mois et 6 mois;[60,79];0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.01;0.0;0.0;0.0;;;;;;0.0;0.01;0.0
2021-06-08;Non-vaccinés;[40,59];23401.07;2191.64;382.57;958.85;9.26;8.54;7.0;5.0;0.0;0.0;;;;;;;7.73;5.0;0.0
2021-06-08;Primo dose récente;[20,39];6914.27;526.13;57.99;126.5;0.0;0.0;0.0;0.0;0.0;0.0;38.66;;;;;;0.0;0.0;0.0
2021-06-08;Primo dose récente;[40,59];4869.26;382.77;41.26;95.15;0.33;0.22;0.0;0.0;0.0;0.0;21.8;;;;;;0.13;0.0;0.0
2021-06-08;Primo dose efficace;[60,79];12501.25;657.85;13.62;66.02;4.13;3.42;5.03;3.87;2.88;2.15;41.68;;;;;;2.35;2.87;2.15
2021-06-08;Primo dose efficace;"[80;+]";2624.98;152.26;6.87;27.79;3.3;1.58;1.0;1.0;0.9;0.15;18.92;;;;;;1.58;1.0;0.15
2021-06-08;Complet de moins de 3 mois - sans rappel;[0,19];151.19;4.59;1.11;4.84;0.0;0.0;0.0;0.0;0.0;0.0;9.04;;;;;;0.0;0.0;0.0
2021-06-08;Complet de moins de 3 mois - sans rappel;[60,79];15248.05;589.58;25.24;124.83;6.15;5.69;1.67;1.57;0.06;0.06;46.98;;;;;;5.48;1.57;0.06
2021-06-08;Complet - avec 1 rappel de moins de 3 mois;[60,79];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;0.0
2021-06-09;Primo dose récente;[20,39];7897.33;446.37;41.93;112.69;1.59;1.17;0.0;0.0;0.0;0.0;38.01;;;;;;0.0;0.0;0.0
2021-06-09;Primo dose récente;[60,79];1128.2;51.3;2.82;17.89;3.14;0.9;1.34;1.0;0.0;0.0;4.83;;;;;;0.9;1.0;0.0
2021-06-09;Primo dose efficace;[20,39];10540.62;591.9;12.8;51.23;0.26;0.0;0.0;0.0;0.0;0.0;41.15;;;;;;0.0;0.0;0.0
2021-06-09;Primo dose efficace;[40,59];14711.61;749.77;24.82;95.28;1.32;1.0;1.2;1.2;0.3;0.15;51.01;;;;;;1.0;1.2;0.15
2021-06-09;Complet entre 3 mois et 6 mois - sans rappel;[0,19];7.49;0.03;0.0;0.0;0.07;0.0;0.02;0.0;0.0;0.0;0.27;;;;;;0.0;0.0;0.0
2021-06-09;Complet entre 3 mois et 6 mois - sans rappel;[20,39];534.01;33.25;0.0;4.74;0.0;0.0;0.0;0.0;0.0;0.0;2.04;;;;;;0.0;0.0;0.0
2021-06-09;Complet entre 3 mois et 6 mois - sans rappel;[60,79];2370.67;87.28;2.16;12.16;0.06;0.0;0.0;0.0;0.0;0.0;6.55;;;;;;0.0;0.0;0.0
2021-06-10;Non-vaccinés;[0,19];37298.21;4550.47;263.93;952.26;6.0;3.0;0.0;0.0;0.0;0.0;;;;;;;2.0;0.0;0.0
2021-06-10;Non-vaccinés;[20,39];44464.23;3526.48;446.88;1131.36;25.54;17.07;3.0;2.0;0.0;0.0;;;;;;;8.84;2.0;0.0
2021-06-10;Non-vaccinés;[40,59];22521.11;1737.26;258.58;708.18;37.56;30.35;7.27;4.62;2.81;2.81;;;;;;;27.58;4.62;2.81
2021-06-10;Non-vaccinés;[60,79];7836.79;501.37;69.26;244.87;43.49;30.13;25.46;19.2;6.78;5.78;;;;;;;26.13;19.2;4.0
2021-06-10;Non-vaccinés;"[80;+]";2793.81;190.44;20.01;66.4;30.55;26.65;1.8;1.0;11.96;8.09;;;;;;;25.65;1.0;6.09
2021-06-10;Primo dose récente;[20,39];9705.29;474.84;51.68;117.15;0.64;0.57;0.0;0.0;0.0;0.0;37.21;;;;;;0.17;0.0;0.0
2021-06-10;Primo dose récente;[40,59];5339.58;309.93;40.0;86.95;2.51;1.17;1.28;1.25;0.0;0.0;20.26;;;;;;1.0;1.25;0.0
2021-06-10;Primo dose efficace;"[80;+]";1861.34;106.46;1.19;17.79;5.99;5.33;0.0;0.0;3.88;3.39;18.36;;;;;;3.33;0.0;3.39
2021-06-10;Complet de moins de 3 mois - sans rappel;[0,19];201.92;11.25;0.12;3.84;0.43;0.0;0.0;0.0;0.0;0.0;9.07;;;;;;0.0;0.0;0.0
2021-06-10;Complet entre 3 mois et 6 mois - sans rappel;[40,59];1745.45;66.98;3.3;9.42;0.0;0.0;0.03;0.0;0.15;0.15;4.43;;;;;;0.0;0.0;0.15
2021-06-10;Complet entre 3 mois et 6 mois - sans rappel;[60,79];2176.1;84.23;1.08;12.75;1.26;0.14;1.08;1.0;0.0;0.0;6.74;;;;;;0.14;1.0;0.0
2021-06-11;Primo dose récente;[0,19];950.72;35.49;5.77;16.07;0.08;0.04;0.0;0.0;0.0;0.0;50.51;;;;;;0.04;0.0;0.0
2021-06-11;Primo dose récente;[20,39];9526.09;386.98;36.01;102.17;0.02;0.0;0.0;0.0;0.0;0.0;36.29;;;;;;0.0;0.0;0.0
2021-06-11;Primo dose récente;[40,59];5743.64;249.55;24.65;77.55;2.72;2.34;1.5;1.18;0.0;0.0;19.43;;;;;;2.25;1.18;0.0
2021-06-11;Complet de moins de 3 mois - sans rappel;[20,39];5565.46;232.9;24.77;70.59;0.55;0.4;0.25;0.0;0.0;0.0;18.81;;;;;;0.4;0.0;0.0
2021-06-11;Complet de moins de 3 mois - sans rappel;[60,79];17112.89;538.6;15.39;117.05;8.7;6.06;3.44;3.1;2.12;2.0;49.96;;;;;;6.06;3.1;2.0
2021-06-11;Complet entre 3 mois et 6 mois - sans rappel;[20,39];599.97;26.73;0.0;2.49;0.0;0.0;0.0;0.0;0.0;0.0;2.04;;;;;;0.0;0.0;0.0
2021-06-11;Complet entre 3 mois et 6 mois - sans rappel;[60,79];2790.56;98.23;1.61;9.95;0.57;0.31;0.2;0.2;0.0;0.0;6.95;;;;;;0.31;0.2;0.0
2021-06-11;Complet entre 3 mois et 6 mois - sans rappel;"[80;+]";2658.41;141.66;1.0;17.04;3.38;2.25;0.0;0.0;4.33;2.18;24.67;;;;;;2.25;0.0;2.18
2021-06-12;Non-vaccinés;[0,19];15656.47;1841.21;120.57;506.14;6.63;3.36;1.63;1.63;0.0;0.0;;;;;;;1.36;1.63;0.0
2021-06-12;Non-vaccinés;[20,39];24163.86;1315.45;188.31;627.04;27.29;20.39;5.0;3.0;0.0;0.0;;;;;;;13.79;3.0;0.0
2021-06-12;Non-vaccinés;[40,59];14286.85;740.66;121.77;416.54;40.03;31.21;12.74;10.87;0.4;0.4;;;;;;;26.29;10.87;0.4
2021-06-12;Primo dose récente;[20,39];4592.85;151.69;13.43;53.77;0.22;0.2;0.0;0.0;0.0;0.0;35.5;;;;;;0.0;0.0;0.0
2021-06-12;Primo dose récente;[40,59];2996.94;124.91;9.14;29.9;1.22;0.22;1.0;1.0;0.0;0.0;18.64;;;;;;0.22;1.0;0.0
2021-06-12;Primo dose récente;"[80;+]";167.05;15.46;1.0;4.09;1.26;1.05;0.0;0.0;0.0;0.0;2.15;;;;;;1.05;0.0;0.0
2021-06-12;Primo dose efficace;[0,19];459.97;13.46;1.13;3.73;0.45;0.17;0.14;0.14;0.0;0.0;40.91;;;;;;0.17;0.14;0.0
2021-06-12;Primo dose efficace;[40,59];10111.42;357.01;16.26;48.57;3.4;2.24;1.12;0.12;0.6;0.6;51.97;;;;;;2.24;0.12;0.6
2021-06-12;Complet entre 3 mois et 6 mois - sans rappel;[20,39];287.02;12.89;0.0;3.42;0.0;0.0;0.0;0.0;0.0;0.0;2.05;;;;;;0.0;0.0;0.0
2021-06-12;Complet entre 3 mois et 6 mois - sans rappel;"[80;+]";1745.53;91.92;0.51;9.31;0.91;0.38;0.14;0.14;1.18;1.0;25.3;;;;;;0.38;0.14;1.0
2021-06-13;Non-vaccinés;[40,59];3379.93;174.42;30.41;105.04;35.53;29.24;7.99;6.83;1.0;1.0;;;;;;;27.24;6.83;1.0
2021-06-13;Non-vaccinés;[60,79];1962.31;118.59;9.59;65.36;32.36;18.52;7.77;5.39;3.0;2.0;;;;;;;16.52;5.39;2.0
2021-06-13;Primo dose récente;[0,19];98.18;8.47;0.14;2.23;0.1;0.05;0.0;0.0;0.0;0.0;48.71;;;;;;0.05;0.0;0.0
2021-06-13;Primo dose récente;[60,79];219.97;13.75;1.0;1.69;3.2;0.74;0.07;0.0;0.0;0.0;4.2;;;;;;0.74;0.0;0.0
2021-06-13;Primo dose efficace;[20,39];1971.72;76.12;1.17;5.61;0.53;0.15;0.24;0.0;0.0;0.0;44.15;;;;;;0.0;0.0;0.0
2021-06-13;Primo dose efficace;[60,79];1924.99;101.72;3.26;13.04;2.09;1.2;2.87;1.07;2.0;1.0;36.39;;;;;;1.2;1.07;1.0
2021-06-13;Primo dose efficace;"[80;+]";668.65;50.65;1.06;5.09;3.37;3.37;0.2;0.0;3.38;1.81;17.56;;;;;;3.37;0.0;1.81
2021-06-13;Complet de moins de 3 mois - sans rappel;[40,59];1294.29;48.25;4.33;15.73;3.69;1.29;2.17;1.17;0.0;0.0;25.32;;;;;;1.29;0.17;0.0
2021-06-13;Complet de moins de 3 mois - sans rappel;[60,79];2985.79;124.02;3.12;19.55;2.23;0.39;1.23;0.55;1.0;0.0;52.21;;;;;;0.39;0.55;0.0
2021-06-13;Complet de moins de 3 mois - sans rappel;"[80;+]";1714.31;118.04;0.09;10.36;2.57;1.57;0.0;0.0;1.55;1.38;54.82;;;;;;1.57;0.0;0.38
2021-06-13;Complet entre 3 mois et 6 mois - sans rappel;[0,19];0.01;0.0;0.0;0.0;0.02;0.01;0.0;0.0;0.0;0.0;0.27;;;;;;0.01;0.0;0.0
2021-06-13;Complet entre 3 mois et 6 mois - sans rappel;"[80;+]";785.71;60.75;1.0;3.88;2.42;2.42;3.4;1.0;0.57;0.57;25.49;;;;;;2.42;0.0;0.57
2021-06-14;Non-vaccinés;[0,19];32605.91;4243.33;212.96;843.1;2.0;1.0;0.0;0.0;0.0;0.0;;;;;;;1.0;0.0;0.0
2021-06-14;Primo dose récente;[0,19];719.5;39.51;4.6;11.22;0.0;0.0;0.0;0.0;0.0;0.0;48.34;;;;;;0.0;0.0;0.0
2021-06-14;Primo dose récente;[20,39];7628.1;459.69;38.52;101.33;0.5;0.2;0.06;0.06;0.0;0.0;34.66;;;;;;0.0;0.06;0.0
2021-06-14;Primo dose récente;[60,79];1551.0;52.78;1.72;14.97;4.07;2.0;2.4;2.3;0.0;0.0;4.19;;;;;;2.0;2.3;0.0
2021-06-14;Primo dose efficace;[0,19];845.72;52.4;1.0;3.79;0.0;0.0;0.0;0.0;0.0;0.0;42.11;;;;;;0.0;0.0;0.0
2021-06-14;Primo dose efficace;[40,59];17317.65;881.67;25.35;103.23;2.54;2.43;1.3;1.16;0.0;0.0;52.13;;;;;;2.43;1.16;0.0
2021-06-14;Primo dose efficace;"[80;+]";2820.76;116.0;4.74;20.7;4.25;4.0;0.0;0.0;3.52;3.52;17.52;;;;;;4.0;0.0;3.52
2021-06-14;Complet de moins de 3 mois - sans rappel;[0,19];230.76;21.23;4.44;10.83;0.0;0.0;0.0;0.0;0.0;0.0;9.29;;;;;;0.0;0.0;0.0
2021-06-14;Complet de moins de 3 mois - sans rappel;[20,39];5492.04;274.18;34.86;82.87;0.18;0.12;0.03;0.03;0.0;0.0;18.9;;;;;;0.0;0.03;0.0
2021-06-14;Complet de moins de 3 mois - sans rappel;[40,59];10187.41;371.62;54.28;147.84;3.01;1.57;0.18;0.1;0.0;0.0;25.43;;;;;;0.57;0.1;0.0
2021-06-14;Complet entre 3 mois et 6 mois - sans rappel;[40,59];1709.28;66.72;0.78;5.97;0.17;0.17;1.09;1.03;0.0;0.0;4.45;;;;;;0.17;1.03;0.0
2021-06-15;Non-vaccinés;"[80;+]";3397.32;189.47;11.73;76.5;24.15;16.55;2.0;2.0;11.06;9.54;;;;;;;14.05;2.0;8.28
2021-06-15;Primo dose efficace;[0,19];725.73;40.48;1.15;5.46;0.75;0.57;0.08;0.0;0.0;0.0;43.41;;;;;;0.57;0.0;0.0
2021-06-15;Complet de moins de 3 mois - sans rappel;[20,39];4507.31;246.85;15.82;58.98;0.58;0.58;0.0;0.0;0.0;0.0;19.13;;;;;;0.58;0.0;0.0
2021-06-15;Complet de moins de 3 mois - sans rappel;[40,59];7829.07;320.25;22.75;83.34;3.45;3.0;0.1;0.0;0.0;0.0;26.01;;;;;;3.0;0.0;0.0
2021-06-15;Complet entre 3 mois et 6 mois - sans rappel;[60,79];2623.82;107.29;2.65;8.02;0.32;0.12;0.04;0.0;0.05;0.0;7.32;;;;;;0.07;0.0;0.0
2021-06-15;Complet entre 3 mois et 6 mois - sans rappel;"[80;+]";2865.47;130.33;2.53;25.07;4.05;2.57;1.0;1.0;0.79;0.2;25.91;;;;;;1.5;1.0;0.2
2021-06-16;Non-vaccinés;[0,19];26248.97;3392.33;130.56;559.65;6.37;4.63;2.5;1.0;0.0;0.0;;;;;;;2.63;1.0;0.0
2021-06-16;Non-vaccinés;[40,59];19293.27;1153.9;169.39;500.58;32.69;23.4;8.92;7.0;2.0;2.0;;;;;;;22.4;6.0;1.0
2021-06-16;Non-vaccinés;"[80;+]";2974.55;159.95;11.1;35.17;21.57;12.0;2.51;1.51;5.11;2.67;;;;;;;11.0;1.51;2.67
2021-06-16;Primo dose récente;[20,39];7319.14;407.03;25.52;77.36;0.0;0.0;0.23;0.06;0.0;0.0;31.86;;;;;;0.0;0.06;0.0
2021-06-16;Primo dose récente;[40,59];3869.01;159.35;11.57;41.84;2.41;2.03;0.08;0.0;0.0;0.0;16.28;;;;;;2.03;0.0;0.0
2021-06-16;Primo dose efficace;[0,19];863.69;52.65;2.04;7.7;0.22;0.15;0.14;0.0;0.0;0.0;42.71;;;;;;0.15;0.0;0.0
2021-06-16;Primo dose efficace;[60,79];8602.81;379.52;7.01;38.12;9.93;7.01;4.4;4.28;2.42;2.0;33.73;;;;;;6.94;4.18;2.0
2021-06-16;Complet de moins de 3 mois - sans rappel;[60,79];14264.01;484.81;10.12;77.38;8.0;4.16;2.71;1.35;2.37;1.0;54.99;;;;;;3.02;1.2;1.0
2021-06-16;Complet entre 3 mois et 6 mois - sans rappel;[0,19];3.63;0.13;0.0;0.0;0.11;0.04;0.04;0.0;0.0;0.0;0.25;;;;;;0.04;0.0;0.0
2021-06-16;Complet de 6 mois ou plus - sans rappel;[40,59];0.0;0.0;0.0;0.0;0.17;0.17;0.0;0.0;0.0;0.0;0.0;;;;;;0.17;0.0;0.0
2021-06-16;Complet - avec 1 rappel de moins de 3 mois;[40,59];0.0;0.0;0.0;0.0;0.04;0.04;0.0;0.0;0.0;0.0;0.0;;;;;;0.04;0.0;0.0
2021-06-16;Complet - avec 1 rappel de 6 mois ou plus;[40,59];0.0;0.0;0.0;0.0;0.03;0.03;0.0;0.0;0.0;0.0;0.0;;;;;;0.03;0.0;0.0
2021-06-17;Non-vaccinés;[0,19];29973.25;3042.04;124.27;540.55;4.11;1.41;0.0;0.0;1.0;0.0;;;;;;;1.41;0.0;0.0
2021-06-17;Non-vaccinés;[20,39];40487.83;2491.06;262.45;784.36;20.53;12.64;5.0;3.0;2.73;2.73;;;;;;;8.84;3.0;1.73
2021-06-17;Complet de moins de 3 mois - sans rappel;[40,59];8665.48;291.24;23.09;77.08;0.68;0.25;2.69;2.29;0.0;0.0;27.34;;;;;;0.25;2.29;0.0
2021-06-17;Complet de moins de 3 mois - sans rappel;[60,79];13100.61;505.22;19.01;73.66;5.98;4.5;2.76;1.54;0.59;0.4;56.11;;;;;;2.5;1.54;0.4
